temp;Cyc1;Cyc2;Cyc3;Cyc4;Cyc5;Cyc6;Cyc7;Cyc8;Cyc9;Cyc10;Cyc14;Cyc15;Cyc16;Cyc17;Cyc18;Cyc21;Cyc22;Cyc23;Cyc24;Cyc25;Cyc26;Cyc28;Cyc29;Cyc30;Cyc31;Cyc32;Cyc34;Cyc35;Cyc36;Cyc39;Cyc40;Cyc41
89,7;1,90643872;1,896805415;1,791964044;1,785782406;1,811373058;1,8268319;1,65178912;1,84634165;2,057628239;2,051030529;2,015599415;1,720161276;2,487690078;2,342611992;2,313776354;2,196477513;1,906178814;1,997171212;1,861013786;1,78813938;1,791917805;1,530734213;1,483356446;1,394267694;1,892245874;1,553603183;1,638183159;1,495282419;1,698656116;1,639327586;1,433394369;1,251566775
89,8;1,91871301;1,859840015;1,827158879;1,761272602;1,819638361;1,787441825;1,607728695;1,85829455;2,073374097;2,035858701;1,977664607;1,712062257;2,471198596;2,214999619;2,23978966;2,107270924;1,892016988;1,955157549;1,770163917;1,741156125;1,737533086;1,537295593;1,502155337;1,415655756;1,825691107;1,569390402;1,600671397;1,442791384;1,689478904;1,581069423;1,450827802;1,316650136
89,9;1,870286576;1,899849953;1,799860321;1,781926778;1,739528496;1,771572442;1,632003255;1,827091806;2,074940871;1,979603774;2,035436144;1,681035579;2,391597365;2,310542894;2,21039648;2,195264617;1,873589903;1,925688563;1,867195646;1,72485636;1,730754559;1,527904936;1,509335252;1,423666743;1,703258975;1,471405683;1,535210193;1,468856923;1,665573103;1,622386159;1,472713599;1,255512322
90;1,87218026;1,916206171;1,811136906;1,769610568;1,778967199;1,792390108;1,638513771;1,829149818;2,152612018;2,067127959;2,048196711;1,703034002;2,459086748;2,258100487;2,230760008;2,171663996;1,857328145;1,927214466;1,819503723;1,683187492;1,71950103;1,502505023;1,505084524;1,376472768;1,774497088;1,542921868;1,603178236;1,380723496;1,680120038;1,549604537;1,469698126;1,279214669
90,1;1,860551614;1,882309344;1,776277307;1,804735383;1,78096261;1,764960199;1,592736706;1,767539701;2,063528394;2,03520139;1,995058424;1,710397636;2,425981028;2,271559726;2,174792096;2,169120826;1,808003357;1,89157375;1,805024913;1,684243886;1,72012774;1,484920817;1,46677348;1,409509762;1,74095903;1,581706613;1,482261387;1,398430668;1,664977275;1,543094021;1,438289972;1,263828489
90,2;1,874461847;1,86598764;1,751148828;1,733190133;1,81976552;1,721108677;1,574527606;1,760128176;2,062002492;2,002310652;1,952264693;1,657481909;2,443986674;2,13588159;2,237735561;2,152830004;1,800768037;1,823671103;1,827115282;1,719564609;1,735655052;1,501284301;1,450588017;1,352888357;1,714024131;1,551079576;1,547976908;1,414765647;1,662763878;1,586734824;1,442486203;1,233255948
90,3;1,82080822;1,834744793;1,73135402;1,74174799;1,795768891;1,742682027;1,637402043;1,747564914;2,013604005;2,001162033;2,020948457;1,677184492;2,446784161;2,169128651;2,222300474;2,176907551;1,883370209;1,781033036;1,827267872;1,708628977;1,667224208;1,534676127;1,508608632;1,354347186;1,699419067;1,47707332;1,551232166;1,377317464;1,655031662;1,542559955;1,411459525;1,246896843
90,4;1,873807889;1,806316061;1,762886537;1,738765545;1,780509869;1,771470715;1,596178463;1,725656658;2,137026017;1,995473157;1,958084641;1,674868391;2,409501284;2,263523308;2,184201826;2,120651912;1,886905216;1,802090486;1,794226221;1,763003915;1,677271687;1,460383764;1,496147097;1,353729559;1,68418911;1,568627451;1,521651462;1,39823504;1,605601235;1,56354111;1,415528598;1,265354391
90,5;1,897968007;1,848071005;1,76317998;1,71178482;1,781901626;1,739998005;1,589277994;1,723714601;2,064545663;1,955494519;1,941056578;1,667200732;2,493206801;2,198062104;2,161287861;2,169165332;1,842853873;1,774079282;1,823834592;1,703355638;1,685140982;1,464321137;1,468898844;1,336338187;1,723070551;1,513041014;1,539126675;1,409831896;1,627550751;1,587701228;1,417999106;1,230640116
90,6;1,87950459;1,79812314;1,694419013;1,628442817;1,793639335;1,700872307;1,545738918;1,784593474;2,085196206;1,987442723;1,913011837;1,69457307;2,415630325;2,224765393;2,125036785;2,141985199;1,789781542;1,740618426;1,789883268;1,732948043;1,631799802;1,462988069;1,487645642;1,292003183;1,664214324;1,521651462;1,509234643;1,389660923;1,648686453;1,501773861;1,375382838;1,227697305
